source_id,global_index,image_url,review_count,valid_count,participant_followup_count,max_anomaly_score,mean_anomaly_score,roles,buckets,evidence_axes,axis_match_count,review_tier,priority_candidate,focus_rendered,quality_tier,quality_score,n_obs,amplitude_completed,rebrightening_completed,nonmono_completed,peak_snr,latest_reason
AT2018mnm,464,http://49.233.162.81:8788/all_sample_gp/AT2018mnm_sample_gp.png,1,1,1,3,3.0,"{""interesting"": 1}","{""new_public_candidate"": 1}","{""rebrightening"": 1, ""sparse_sampling"": 1, ""color_separation"": 1}",1,pool,False,False,B_completed_good,0.6,1160,0.69,7,0.47,3.6,dm15=0.35偏大，振幅0.69等，g波段出现7次再亮事件且观测数据与GP曲线存在多处偏离，峰值SNR=3.6信号可检测
AT2018xr,495,http://49.233.162.81:8788/all_sample_gp/AT2018xr_sample_gp.png,1,1,1,3,3.0,"{""interesting"": 1}","{""new_public_candidate"": 1}","{""rebrightening"": 1, ""nonmonotonic"": 1, ""tail_or_plateau"": 1}",1,pool,False,False,B_completed_good,0.57,360,0.33,4,0.46,2.4,360个观测点高密度采样，多次再亮呈现非单调长时标变化，两波段行为有差异，值得跟进分析
AT2019aaaj,507,http://49.233.162.81:8788/all_sample_gp/AT2019aaaj_sample_gp.png,1,1,1,3,3.0,"{""bridge"": 1}","{""new_public_candidate"": 1}","{""context_risk"": 1, ""nonmonotonic"": 1}",1,pool,False,False,B_completed_good,0.51,225,0.05,0,0.38,0.8,225个观测点，有AGN/WISE上下文提示，g波段呈非单调弱起伏，两波段行为有差异需复核
AT2019aacq,512,http://49.233.162.81:8788/all_sample_gp/AT2019aacq_sample_gp.png,1,1,1,3,3.0,"{""bridge"": 1}","{""new_public_candidate"": 1}","{""nonmonotonic"": 1, ""color_separation"": 1}",1,pool,False,False,B_completed_good,0.5,98,0.1,0,0.59,0.7,98个观测点采样较稀疏，两波段行为有分离呈现非单调变化，介于异常与普通之间需复核
AT2019aavg,538,http://49.233.162.81:8788/all_sample_gp/AT2019aavg_sample_gp.png,1,1,1,3,3.0,"{""bridge"": 1}","{""new_public_candidate"": 1}","{""nonmonotonic"": 1, ""color_separation"": 1, ""context_risk"": 1}",1,pool,False,False,C_imputed_usable,0.63,367,0.34,0,0.39,7.7,绿波段呈宽缓起伏而红波段更多像长期噪声纹理，结合核区/AGN上下文，可能是长期变源或宿主背景活动而非干净瞬变；需要回看背景位置和散点连续性
AT2019edx,688,http://49.233.162.81:8788/all_sample_gp/AT2019edx_sample_gp.png,1,1,1,3,3.0,"{""bridge"": 1}","{""new_public_candidate"": 1}","{""color_separation"": 1, ""sparse_sampling"": 1}",1,pool,False,False,B_completed_good,0.52,32,0.05,0,0.56,0.9,两波段形态差异大，g波段有明显起伏但r波段几乎平缓，SNR仅0.9极低且采样稀疏，GP曲线起伏更可能是低信噪拟合震荡；先查散点是否真的支撑这些波峰
AT2019epv,716,http://49.233.162.81:8788/all_sample_gp/AT2019epv_sample_gp.png,1,1,1,3,3.0,"{""bridge"": 1}","{""new_public_candidate"": 1}","{""nonmonotonic"": 1, ""context_risk"": 1}",1,pool,False,False,C_imputed_usable,0.58,215,0.46,0,0.41,4.4,两波段呈周期性起伏但右侧有偏离拟合的亮观测点，GP曲线起伏可能来自低信噪插值而非真实周期变化；先回看右侧偏离点是否为真实增亮
AT2019fcz,752,http://49.233.162.81:8788/all_sample_gp/AT2019fcz_sample_gp.png,1,1,1,3,3.0,"{""bridge"": 1}","{""new_public_candidate"": 1}","{""rebrightening"": 1, ""nonmonotonic"": 1, ""context_risk"": 1}",1,pool,False,False,B_completed_good,0.62,811,0.5,4,0.43,4.5,峰退下去后又抬起，若两波段同步可能是二次活动或持续能量输入；但源贴近核区，仍要查宿主背景是否把长期活动混进来了
AT2019fjd,763,http://49.233.162.81:8788/all_sample_gp/AT2019fjd_sample_gp.png,1,1,1,3,3.0,"{""bridge"": 1}","{""new_public_candidate"": 1}","{""rebrightening"": 1, ""nonmonotonic"": 1, ""context_risk"": 1}",1,pool,False,False,B_completed_good,0.66,283,0.67,3,0.45,7.0,峰下降之后又回升，若两波段同步可能是二次爆发或持续能量输入；但源贴近核区，仍要查宿主背景是否把长期活动混进来了
AT2019fke,765,http://49.233.162.81:8788/all_sample_gp/AT2019fke_sample_gp.png,1,1,1,3,3.0,"{""data_issue"": 1}","{""new_public_candidate"": 1}","{""sparse_sampling"": 1}",1,pool,False,False,C_imputed_usable,0.48,269,0.04,0,0.0,0.3,只有红波段出现尖峰，绿波段没有共同变亮，物理上缺少同步爆发证据；更像差分残差或单波段测光异常，先查原始图像质量
AT2019foh,773,http://49.233.162.81:8788/all_sample_gp/AT2019foh_sample_gp.png,1,1,1,3,3.0,"{""bridge"": 1}","{""new_public_candidate"": 1}","{""rebrightening"": 1, ""nonmonotonic"": 1, ""context_risk"": 1}",1,pool,False,False,A_completed_high,0.75,130,0.35,0,0.52,4.3,主峰后出现多次非单调起伏，暗示持续能量输入或间歇性吸积过程，需要排除核区宿主污染的可能性
AT2019fro,775,http://49.233.162.81:8788/all_sample_gp/AT2019fro_sample_gp.png,1,1,1,3,3.0,"{""data_issue"": 1}","{""new_public_candidate"": 1}","{""sparse_sampling"": 1}",1,pool,False,False,B_completed_good,0.67,28,2.04,1,0.31,8.8,仅r波段检测到异常突增而g波段毫无响应，缺乏多波段协同增亮证据，更可能是测光artifact而非真实天体信号
AT2019gco,803,http://49.233.162.81:8788/all_sample_gp/AT2019gco_sample_gp.png,1,1,1,3,3.0,"{""bridge"": 1}","{""new_public_candidate"": 1}","{""nonmonotonic"": 1}",1,pool,False,False,B_completed_good,0.6,222,0.49,0,0.61,3.2,两波段非单调变化，host偏移0.72，有AGN上下文提示
AT2019gii,813,http://49.233.162.81:8788/all_sample_gp/AT2019gii_sample_gp.png,1,1,1,3,3.0,"{""bridge"": 1}","{""new_public_candidate"": 1}","{""nonmonotonic"": 1}",1,pool,False,False,B_completed_good,0.65,206,0.69,1,0.53,6.4,两波段非单调变化，host偏移0.72，有AGN上下文提示
AT2019jrt,960,http://49.233.162.81:8788/all_sample_gp/AT2019jrt_sample_gp.png,1,1,1,3,3.0,"{""bridge"": 1}","{""new_public_candidate"": 1}","{""rebrightening"": 1, ""context_risk"": 1, ""color_separation"": 1}",1,pool,False,False,C_imputed_usable,0.58,55,0.46,0,0.41,4.4,峰退下去后又抬起，但源有变源上下文提示，仍要查宿主背景是否把长期活动混进来了
AT2019jtc,963,http://49.233.162.81:8788/all_sample_gp/AT2019jtc_sample_gp.png,1,1,1,3,3.0,"{""bridge"": 1}","{""new_public_candidate"": 1}","{""rebrightening"": 1, ""nonmonotonic"": 1, ""tail_or_plateau"": 1}",1,pool,False,False,B_completed_good,0.61,422,0.6,11,0.46,3.9,两波段呈现周期性波动和多次再亮抬起，若两波段同步可能是持续能量输入或周期活动；但需先排除采样空窗造成的假象
AT2019ju,964,http://49.233.162.81:8788/all_sample_gp/AT2019ju_sample_gp.png,1,1,1,3,3.0,"{""bridge"": 1}","{""new_public_candidate"": 1}","{""context_risk"": 1, ""color_separation"": 1, ""tail_or_plateau"": 1}",1,pool,False,False,C_imputed_usable,0.63,389,0.34,0,0.39,7.7,两波段长期平稳分层，但源在核区有AGN背景，仍要查宿主背景是否把长期活动混进来了
AT2019keq,975,http://49.233.162.81:8788/all_sample_gp/AT2019keq_sample_gp.png,1,1,1,3,3.0,"{""bridge"": 1}","{""new_public_candidate"": 1}","{""rebrightening"": 1, ""nonmonotonic"": 1, ""tail_or_plateau"": 1}",1,pool,False,False,B_completed_good,0.63,58,0.85,4,0.31,4.8,r band呈现周期性波动和多次再亮抬起，但与g band不同步，仍要查宿主背景是否把长期活动混进来了
AT2019kme,986,http://49.233.162.81:8788/all_sample_gp/AT2019kme_sample_gp.png,1,1,1,3,3.0,"{""bridge"": 1}","{""new_public_candidate"": 1}","{""rebrightening"": 1, ""color_separation"": 1}",1,pool,False,False,B_completed_good,0.63,212,0.31,2,0.46,5.0,两波段出现再亮抬起，颜色关系在起伏中有变化；若两波段同步可能是二次活动或持续能量输入，先查尾部散点是否连续
AT2019kpa,993,http://49.233.162.81:8788/all_sample_gp/AT2019kpa_sample_gp.png,1,1,1,3,3.0,"{""bridge"": 1}","{""new_public_candidate"": 1}","{""rebrightening"": 1, ""color_separation"": 1}",1,pool,False,False,B_completed_good,0.67,600,0.35,2,0.45,7.3,g band出现再亮抬起，与r band颜色关系发生变化；若两波段同步可能是持续能量输入，先查尾部散点是否连续
AT2019krr,996,http://49.233.162.81:8788/all_sample_gp/AT2019krr_sample_gp.png,1,1,1,3,3.0,"{""bridge"": 1}","{""new_public_candidate"": 1}","{""rebrightening"": 1, ""context_risk"": 1, ""color_separation"": 1}",1,pool,False,False,B_completed_good,0.56,34,0.22,0,0.32,5.3,两波段有峰值后衰减再亮抬起，颜色关系发生变化，但源有AGN上下文提示，仍要查宿主背景是否把长期活动混进来了
AT2019ku,1000,http://49.233.162.81:8788/all_sample_gp/AT2019ku_sample_gp.png,1,1,1,3,3.0,"{""bridge"": 1}","{""new_public_candidate"": 1}","{""rebrightening"": 1, ""color_separation"": 1}",1,pool,False,False,B_completed_good,0.65,524,0.71,2,0.33,6.1,两波段一起亮起后衰减再亮抬起，颜色关系在起伏中有变化；若两波段同步可能是持续能量输入，先查尾部散点是否连续
AT2019mau,1038,http://49.233.162.81:8788/all_sample_gp/AT2019mau_sample_gp.png,1,1,1,3,3.0,"{""bridge"": 1}","{""new_public_candidate"": 1}","{""rebrightening"": 1, ""nonmonotonic"": 1, ""context_risk"": 1}",1,pool,False,False,B_completed_good,0.65,195,0.39,0,0.55,6.1,峰退下去后又抬起，若两波段同步可能是二次活动或持续能量输入
AT2019mop,1060,http://49.233.162.81:8788/all_sample_gp/AT2019mop_sample_gp.png,1,1,1,3,3.0,"{""data_issue"": 1}","{""new_public_candidate"": 1}","{""sparse_sampling"": 1}",1,pool,False,False,C_imputed_usable,0.49,172,0.05,0,0.44,0.5,只有红波段冒出尖峰，绿波段没有共同变亮，物理上缺少同步爆发证据；更像差分残差或单波段测光失败，先查原始图像质量
AT2019mrt,1065,http://49.233.162.81:8788/all_sample_gp/AT2019mrt_sample_gp.png,1,1,1,3,3.0,"{""data_issue"": 1}","{""new_public_candidate"": 1}","{""sparse_sampling"": 1}",1,pool,False,False,C_imputed_usable,0.47,284,0.13,0,0.0,0.2,只有红波段冒出尖峰，绿波段没有共同变亮，物理上缺少同步爆发证据；更像差分残差或单波段测光失败，先查原始图像质量
AT2017kgh,28,http://49.233.162.81:8788/all_sample_gp/AT2017kgh_sample_gp.png,1,1,1,3,3.0,"{""interesting"": 1}","{""new_public_candidate"": 1}","{""peak_or_bump"": 1, ""color_separation"": 1, ""amplitude"": 1}",0,pool,False,False,B_completed_good,0.51,143,0.05,0,0.54,0.8,g波段在58200、58500附近出现双峰结构，振幅约0.4等
AT2018bdz,63,http://49.233.162.81:8788/all_sample_gp/AT2018bdz_sample_gp.png,1,1,1,3,3.0,"{""interesting"": 1}","{""new_public_candidate"": 1}","{""rebrightening"": 1, ""nonmonotonic"": 1, ""color_separation"": 1}",0,pool,False,False,B_completed_good,0.65,85,0.48,1,0.47,6.4,i波段17.75-18.25在MJD58600附近有明显数值波动，g/r波段同步下降后MJD58400处有缺口，再亮计数≈1，三波段分层约0.5等，值得追踪是否存在再亮事件
AT2018bfv,65,http://49.233.162.81:8788/all_sample_gp/AT2018bfv_sample_gp.png,1,1,1,3,3.0,"{""bridge"": 1}","{""new_public_candidate"": 1}","{""color_separation"": 1, ""amplitude"": 1, ""nonmonotonic"": 1}",0,pool,False,False,A_completed_high,0.86,51,0.47,1,0.36,6.9,g波段(19.5-20.0)在MJD58300/58500/58600见谷值，r波段(18.5-19.0)在MJD58400右侧冲高至18.25，dm15=0.33显示快速衰减特征，颜色分层出现交叉趋势，振幅0.47等，值得后续复核
AT2018bjk,70,http://49.233.162.81:8788/all_sample_gp/AT2018bjk_sample_gp.png,1,1,1,3,3.0,"{""data_issue"": 1}","{""new_public_candidate"": 1}","{""color_separation"": 1, ""sparse_sampling"": 1}",0,pool,False,False,B_completed_good,0.66,946,0.21,0,0.49,2.9,58400-58600区间g/r/i三波段数据几乎完全缺失，形成明显的数据断层，只有r波段在58700附近有一个孤立点
AT2018bte,82,http://49.233.162.81:8788/all_sample_gp/AT2018bte_sample_gp.png,1,1,1,3,3.0,"{""interesting"": 1}","{""new_public_candidate"": 1}","{""peak_or_bump"": 1, ""rebrightening"": 1, ""nonmonotonic"": 1, ""color_separation"": 1}",0,pool,False,False,A_completed_high,0.83,42,0.92,0,0.11,15.0,g波段从20.5-21.0等下降至19.25等后回升，形成先降后升的亮度变化，振幅约1.5等，r波段同步波动，峰值SNR=15数据质量好
AT2018eci,142,http://49.233.162.81:8788/all_sample_gp/AT2018eci_sample_gp.png,1,1,1,3,3.0,"{""data_issue"": 1}","{""new_public_candidate"": 1}","{""peak_or_bump"": 1, ""color_separation"": 1, ""background_or_contamination"": 1, ""context_risk"": 1}",0,pool,False,False,C_imputed_usable,0.48,143,0.06,0,0.41,0.7,SNR峰值仅0.7极低；host_dlr=0.04可能存在宿主污染；g波段18.0-18.5等，r波段16.5-17.0等，特征质量C_imputed_usable
AT2018edy,144,http://49.233.162.81:8788/all_sample_gp/AT2018edy_sample_gp.png,1,1,1,3,3.0,"{""bridge"": 1}","{""new_public_candidate"": 1}","{""rebrightening"": 1, ""nonmonotonic"": 1, ""color_separation"": 1, ""amplitude"": 1}",0,pool,False,False,B_completed_good,0.56,131,0.37,1,0.49,2.5,三波段存在交叉，g从18.5变暗到19.5等，r在18.0-19.0等区间波动；振幅约0.37等；再亮计数1
AT2018gkd,187,http://49.233.162.81:8788/all_sample_gp/AT2018gkd_sample_gp.png,1,1,1,3,3.0,"{""bridge"": 1}","{""new_public_candidate"": 1}","{""color_separation"": 1, ""smooth_control"": 1}",0,pool,False,False,B_completed_good,0.67,119,0.61,1,0.56,7.4,r波段在MJD58700后从15.5明显抬升到接近15.0，g波段稳定在16.0-16.5，两波段颜色关系在后期发生反转
AT2018isz,255,http://49.233.162.81:8788/all_sample_gp/AT2018isz_sample_gp.png,1,1,1,3,3.0,"{""data_issue"": 1}","{""new_public_candidate"": 1}","{""peak_or_bump"": 1, ""nonmonotonic"": 1, ""color_separation"": 1, ""amplitude"": 1}",0,pool,False,False,B_completed_good,0.52,330,0.06,0,0.0,0.9,振幅仅0.06等，峰值SNR=0.9极低，r在17.0-17.4、i在17.6-18.0缓慢波动，三波段平行无交叉，AGN上下文中振幅过小
AT2018ivu,263,http://49.233.162.81:8788/all_sample_gp/AT2018ivu_sample_gp.png,1,1,1,3,3.0,"{""bridge"": 1}","{""new_public_candidate"": 1}","{""peak_or_bump"": 1, ""rebrightening"": 1, ""nonmonotonic"": 1, ""color_separation"": 1}",0,pool,False,False,C_imputed_usable,0.63,223,0.34,0,0.39,7.7,g波段从17.8下降至18.2再回升至17.9，形成双峰结构，r和i波段同步波动，峰值位于58600和58900附近，振幅约0.34等呈波动趋势
AT2018iya,268,http://49.233.162.81:8788/all_sample_gp/AT2018iya_sample_gp.png,1,1,1,3,3.0,"{""interesting"": 1}","{""new_public_candidate"": 1}","{""peak_or_bump"": 1, ""nonmonotonic"": 1, ""color_separation"": 1}",0,pool,False,False,B_completed_good,0.56,108,0.53,0,0.43,2.9,r波段在58400-58500从17.75升至17.00等变亮约0.75等，右侧58700-58800出现小峰值17.25-17.75等，g波段波动大17.75-19.00等约1.25等振幅
AT2018jcz,282,http://49.233.162.81:8788/all_sample_gp/AT2018jcz_sample_gp.png,1,1,1,3,3.0,"{""bridge"": 1}","{""new_public_candidate"": 1}","{""nonmonotonic"": 1, ""color_separation"": 1}",0,pool,False,False,B_completed_good,0.54,282,0.21,0,0.47,1.5,r波段在MJD 58400和58800附近出现峰值约17.5等，g波段相对平缓18.0-18.5等，两波段间距在峰值处收窄约0.5等
AT2018jnp,300,http://49.233.162.81:8788/all_sample_gp/AT2018jnp_sample_gp.png,1,1,1,3,3.0,"{""bridge"": 1}","{""new_public_candidate"": 1}","{""nonmonotonic"": 1, ""tail_or_plateau"": 1}",0,pool,False,False,A_completed_high,0.88,85,0.47,3,0.45,8.6,再亮计数3次，振幅0.47等，SNR 8.6两波段在17.25-17.5和18.0-18.25范围多次波动起伏，g-r间距保持0.75等左右，后期轻微下降
AT2018jwh,314,http://49.233.162.81:8788/all_sample_gp/AT2018jwh_sample_gp.png,1,1,1,3,3.0,"{""interesting"": 1}","{""new_public_candidate"": 1}","{""rebrightening"": 1, ""amplitude"": 1, ""nonmonotonic"": 1}",0,pool,False,False,B_completed_good,0.62,125,0.34,1,0.34,4.4,g波段波动幅度明显大于r波段，存在多个峰值和谷值，振幅约0.34等，再亮迹象明显
AT2018kgs,326,http://49.233.162.81:8788/all_sample_gp/AT2018kgs_sample_gp.png,1,1,1,3,3.0,"{""interesting"": 1}","{""new_public_candidate"": 1}","{""rebrightening"": 1, ""peak_or_bump"": 1, ""color_separation"": 1}",0,pool,False,False,B_completed_good,0.69,87,0.5,0,0.53,9.1,r波段在MJD58500达峰后回落，58700-58900区间再次震荡上升显示再亮结构，g波段仅单调衰减约0.5等，双波段行为分化值得追踪
AT2018kru,342,http://49.233.162.81:8788/all_sample_gp/AT2018kru_sample_gp.png,1,1,1,3,3.0,"{""interesting"": 1}","{""new_public_candidate"": 1}","{""peak_or_bump"": 1, ""nonmonotonic"": 1}",0,pool,False,False,D_heavy_imputation,0.56,89,0.46,0,0.41,4.4,r波段在MJD58700附近形成峰值约19.7，g波段从20.1持续下降至21.0约0.9等，两波段呈非单调变化
AT2018lkk,376,http://49.233.162.81:8788/all_sample_gp/AT2018lkk_sample_gp.png,1,1,1,3,3.0,"{""interesting"": 1}","{""new_public_candidate"": 1}","{""rebrightening"": 1, ""tail_or_plateau"": 1, ""color_separation"": 1}",0,pool,False,False,A_completed_high,0.91,65,0.41,1,0.31,12.0,r波段从18.0变暗至18.5后回升约0.3等，三波段分层清晰间距约0.5等，再亮计数1，振幅0.41等
AT2018lqs,385,http://49.233.162.81:8788/all_sample_gp/AT2018lqs_sample_gp.png,1,1,1,3,3.0,"{""interesting"": 1}","{""new_public_candidate"": 1}","{""rebrightening"": 1, ""nonmonotonic"": 1, ""color_separation"": 1}",0,pool,False,False,B_completed_good,0.6,231,0.69,0,0.37,4.4,g波段从19.5先平稳后回升至19.0再下降至20等，r波段从19.2升至19.5后持续下降至20.5，两波段非单调交叉变化
AT2018lyr,413,http://49.233.162.81:8788/all_sample_gp/AT2018lyr_sample_gp.png,1,1,1,3,3.0,"{""interesting"": 1}","{""new_public_candidate"": 1}","{""peak_or_bump"": 1, ""tail_or_plateau"": 1, ""nonmonotonic"": 1}",0,pool,False,False,B_completed_good,0.81,249,1.42,0,0.39,11.8,g波段从19.4等快速下降至21.1等后缓慢回升至21.0等，r波段从19.5等下降至20.9等后回升至20.7等，振幅约1.42等
AT2018mem,430,http://49.233.162.81:8788/all_sample_gp/AT2018mem_sample_gp.png,1,1,1,3,3.0,"{""bridge"": 1}","{""new_public_candidate"": 1}","{""nonmonotonic"": 1, ""color_separation"": 1}",0,pool,False,False,B_completed_good,0.57,792,0.18,0,0.19,2.1,图上可见r波段平缓波动但g波段有明显起伏，两者变化不同步；振幅0.18较小但792点密集采样显示不对称行为，可能存在长时标变化
AT2018lse,395,http://49.233.162.81:8788/all_sample_gp/AT2018lse_sample_gp.png,1,1,1,3,3.0,"{""interesting"": 1}","{""new_public_candidate"": 1}","{""peak_or_bump"": 1, ""color_separation"": 1, ""tail_or_plateau"": 1}",0,pool,False,False,A_completed_high,0.87,218,0.47,0,0.37,7.9,g波段在MJD58800附近有明显峰值，振幅约0.47，三波段(g/r)分层约0.5-1等，峰值后有明显衰减趋势，SNR 7.9较高
AT2018mnx,467,http://49.233.162.81:8788/all_sample_gp/AT2018mnx_sample_gp.png,1,1,1,3,3.0,"{""interesting"": 1}","{""new_public_candidate"": 1}","{""rebrightening"": 1, ""color_separation"": 1}",0,pool,False,False,C_imputed_usable,0.6,165,0.61,1,0.42,5.8,r band在MJD 58800附近从均值抬升约0.3等，与g band间距变化，呈现再亮特征
AT2018mpm,484,http://49.233.162.81:8788/all_sample_gp/AT2018mpm_sample_gp.png,1,1,1,3,3.0,"{""interesting"": 1}","{""new_public_candidate"": 1}","{""peak_or_bump"": 1, ""nonmonotonic"": 1, ""background_or_contamination"": 1}",0,pool,False,False,A_completed_high,0.7,278,0.18,0,0.35,3.2,r波段在MJD58800附近见窄峰约16.5等，g波段呈先降后升再降的波动，在MJD58600附近有散点大幅低于拟合曲线，核区/AGN上下文样本
AT2019aacb,510,http://49.233.162.81:8788/all_sample_gp/AT2019aacb_sample_gp.png,1,1,1,3,3.0,"{""interesting"": 1}","{""new_public_candidate"": 1}","{""rebrightening"": 1, ""tail_or_plateau"": 1, ""color_separation"": 1}",0,pool,False,False,B_completed_good,0.56,330,0.17,0,0.47,2.0,330个高密度观测点，多次再亮呈现长时标变化，两波段颜色分离特征明显，值得跟进
AT2019aajd,518,http://49.233.162.81:8788/all_sample_gp/AT2019aajd_sample_gp.png,1,1,1,3,3.0,"{""interesting"": 1}","{""new_public_candidate"": 1}","{""rebrightening"": 1, ""tail_or_plateau"": 1, ""sparse_sampling"": 1}",0,pool,False,False,B_completed_good,0.56,688,0.21,1,0.46,2.0,观测范围MJD58700-59200呈波浪状变化，约688个观测点特征质量B_completed_good，振幅约0.21等，有再亮计数提示
AT2019aaon,525,http://49.233.162.81:8788/all_sample_gp/AT2019aaon_sample_gp.png,1,1,1,3,3.0,"{""interesting"": 1}","{""new_public_candidate"": 1}","{""rebrightening"": 1, ""amplitude"": 1}",0,pool,False,False,C_imputed_usable,0.58,74,0.46,0,0.41,4.4,r波段在MJD 58800和59200附近从16.3等下降至16.0等，g波段在MJD 59200附近从17.6等下降至16.9等，振幅约0.46等，存在两次明显下降
AT2019aati,533,http://49.233.162.81:8788/all_sample_gp/AT2019aati_sample_gp.png,1,1,1,3,3.0,"{""interesting"": 1}","{""new_public_candidate"": 1}","{""peak_or_bump"": 1}",0,pool,False,False,A_completed_high,0.8,103,0.56,5,0.45,8.3,r波段在MJD58700、59000、59100附近出现多个峰值约19等，g波段先下降后趋于平稳，振幅约0.56等
AT2019aay,544,http://49.233.162.81:8788/all_sample_gp/AT2019aay_sample_gp.png,1,1,1,3,3.0,"{""data_issue"": 1}","{""new_public_candidate"": 1}","{""sparse_sampling"": 1, ""context_risk"": 1}",0,pool,False,False,B_completed_good,0.64,334,0.58,1,0.68,5.7,红波段有几个尖峰和一个孤立深点，但绿波段没有同步的峰后结构，物理上缺少共同变亮证据，更像差分残差、测光失败或核区背景污染；先查图像质量
AT2019egd,693,http://49.233.162.81:8788/all_sample_gp/AT2019egd_sample_gp.png,1,1,1,3,3.0,"{""bridge"": 1}","{""new_public_candidate"": 1}","{""peak_or_bump"": 1, ""color_separation"": 1}",0,pool,False,False,B_completed_good,0.55,794,0.22,0,0.33,1.6,两波段形态分化，r波段有明显周期性谷而g波段几乎平稳，像长期活动源在特定波段的独立变化；先查两波段散点支撑和宿主背景
AT2019euf,728,http://49.233.162.81:8788/all_sample_gp/AT2019euf_sample_gp.png,1,1,1,3,3.0,"{""bridge"": 1}","{""new_public_candidate"": 1}","{""rebrightening"": 1, ""context_risk"": 1}",0,pool,False,False,B_completed_good,0.55,158,0.12,0,0.42,1.7,峰退下去后又抬起，若两波段同步可能是二次活动或持续能量输入；但源贴近核区，仍要查宿主背景是否把长期活动混进来了
AT2019fvs,783,http://49.233.162.81:8788/all_sample_gp/AT2019fvs_sample_gp.png,1,1,1,3,3.0,"{""bridge"": 1}","{""new_public_candidate"": 1}","{""nonmonotonic"": 1}",0,pool,False,False,B_completed_good,0.54,480,0.23,0,0.49,1.4,两波段非单调变化，host偏移0.72，有AGN上下文提示
AT2019fvz,785,http://49.233.162.81:8788/all_sample_gp/AT2019fvz_sample_gp.png,1,1,1,3,3.0,"{""data_issue"": 1}","{""new_public_candidate"": 1}","{""sparse_sampling"": 1}",0,pool,False,False,B_completed_good,0.7,69,0.24,0,0.42,3.8,只有一个波段有信号，SNR很低，可能是数据问题
AT2019fxa,788,http://49.233.162.81:8788/all_sample_gp/AT2019fxa_sample_gp.png,1,1,1,3,3.0,"{""bridge"": 1}","{""new_public_candidate"": 1}","{""nonmonotonic"": 1}",0,pool,False,False,B_completed_good,0.56,122,0.42,0,0.35,2.0,两波段非单调变化，host偏移0.72，有AGN上下文提示
AT2019fye,790,http://49.233.162.81:8788/all_sample_gp/AT2019fye_sample_gp.png,1,1,1,3,3.0,"{""data_issue"": 1}","{""new_public_candidate"": 1}","{""sparse_sampling"": 1}",0,pool,False,False,D_heavy_imputation,0.61,389,0.34,0,0.39,7.7,只有一个波段有信号，SNR很低，可能是数据问题
AT2019gdz,805,http://49.233.162.81:8788/all_sample_gp/AT2019gdz_sample_gp.png,1,1,1,3,3.0,"{""data_issue"": 1}","{""new_public_candidate"": 1}","{""sparse_sampling"": 1}",0,pool,False,False,B_completed_good,0.64,174,0.48,4,0.5,5.6,只有一个波段有信号，SNR很低，可能是数据问题
AT2019gin,815,http://49.233.162.81:8788/all_sample_gp/AT2019gin_sample_gp.png,1,1,1,3,3.0,"{""data_issue"": 1}","{""new_public_candidate"": 1}","{""sparse_sampling"": 1}",0,pool,False,False,B_completed_good,0.63,174,0.47,9,0.52,4.8,只有一个波段有信号，SNR很低，可能是数据问题
AT2019gnh,823,http://49.233.162.81:8788/all_sample_gp/AT2019gnh_sample_gp.png,1,1,1,3,3.0,"{""bridge"": 1}","{""new_public_candidate"": 1}","{""nonmonotonic"": 1}",0,pool,False,False,B_completed_good,0.65,77,0.61,6,0.35,6.0,两波段非单调变化，host偏移0.72，有AGN上下文提示
AT2019gnw,825,http://49.233.162.81:8788/all_sample_gp/AT2019gnw_sample_gp.png,1,1,1,3,3.0,"{""data_issue"": 1}","{""new_public_candidate"": 1}","{""sparse_sampling"": 1}",0,pool,False,False,A_completed_high,0.86,519,0.36,1,0.41,11.3,只有一个波段有信号，SNR很低，可能是数据问题
AT2019gpl,828,http://49.233.162.81:8788/all_sample_gp/AT2019gpl_sample_gp.png,1,1,1,3,3.0,"{""bridge"": 1}","{""new_public_candidate"": 1}","{""nonmonotonic"": 1}",0,pool,False,False,B_completed_good,0.58,71,0.5,0,0.39,2.5,两波段非单调变化，host偏移0.72，有AGN上下文提示
AT2019gpt,830,http://49.233.162.81:8788/all_sample_gp/AT2019gpt_sample_gp.png,1,1,1,3,3.0,"{""data_issue"": 1}","{""new_public_candidate"": 1}","{""sparse_sampling"": 1}",0,pool,False,False,A_completed_high,0.79,50,1.31,1,0.38,26.0,只有一个波段有信号，SNR很低，可能是数据问题
AT2019gtj,838,http://49.233.162.81:8788/all_sample_gp/AT2019gtj_sample_gp.png,1,1,1,3,3.0,"{""bridge"": 1}","{""new_public_candidate"": 1}","{""nonmonotonic"": 1}",0,pool,False,False,B_completed_good,0.6,586,0.43,3,0.4,3.4,两波段非单调变化，host偏移0.72，有AGN上下文提示
AT2019gtm,840,http://49.233.162.81:8788/all_sample_gp/AT2019gtm_sample_gp.png,1,1,1,3,3.0,"{""data_issue"": 1}","{""new_public_candidate"": 1}","{""sparse_sampling"": 1}",0,pool,False,False,A_completed_high,0.8,74,0.59,1,0.41,10.9,只有一个波段有信号，SNR很低，可能是数据问题
AT2019had,853,http://49.233.162.81:8788/all_sample_gp/AT2019had_sample_gp.png,1,1,1,3,3.0,"{""bridge"": 1}","{""new_public_candidate"": 1}","{""nonmonotonic"": 1}",0,pool,False,False,A_completed_high,0.92,109,1.74,5,0.4,20.4,两波段非单调变化，host偏移0.72，有AGN上下文提示
